Tue. Nov. 22, 2016             LANDSAT 5                 Time: 21:34
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L21771215            Path/Row: 141 / 048

L0R Reference Image: L51BKT1006047040100_HDF.163280205
Acquisition Date: Feb 16, 2006

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
141   048   12-08-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1410480267_01   17.005257   82.091073   -57.603       3.908    -3.146     4.311    -2.565
1410480268_01   17.978791   83.191955    -4.190       0.859     1.898     0.585     2.000
1410480269_01   18.015597   83.335159   -43.053      -3.562     6.307    -4.410     5.749
1410480270_01   17.000874   81.936619   -15.685      -0.348     3.155    -0.788     3.074
1410480272_01   17.658890   83.153560   -42.003       1.131    -0.668     1.214    -0.503
1410480273_01   17.259896   82.269489   -23.102      -0.637     5.307    -1.377     5.164
1410480276_01   17.953762   83.026284    17.319       0.107     1.513    -0.106     1.514
1410480277_01   17.129240   82.077976   -34.069      -4.712    -2.406    -4.326    -3.043
1410480279_01   17.229101   82.206927   -34.766      -3.414     0.163    -3.402    -0.318
1410480280_01   18.062222   83.400081   -11.463       0.057     0.787    -0.053     0.788
1410480281_01   17.143443   82.157304   -41.559      -2.528     2.265    -2.821     1.887
1410480282_01   17.882709   82.810626    -0.127      -0.881     0.703    -0.971     0.573
1410480284_01   17.966834   83.444089   -27.660      -3.264     1.213    -3.402     0.744
1410480286_01   17.075042   81.964053   -16.043      -6.987     4.206    -7.507     3.182
1410480287_01   17.239767   82.045321    -7.837      -0.627    -1.637    -0.391    -1.708
1410480292_01   16.948943   82.125400   -63.321      -0.912    -0.642    -0.812    -0.764
1410480294_01   17.425574   82.883428   -72.000       0.564    -0.455     0.622    -0.372
1410480296_01   17.406791   82.711854   -46.499      -4.496     1.236    -4.625     0.593
1410480298_01   16.938013   82.090967   -64.347      -4.404     3.547    -4.860     2.892
1410480300_01   18.046047   83.234997   -28.197       1.139    -0.521     1.201    -0.356
1410480301_01   17.712220   82.839451    23.364      -1.199    -0.567    -1.108    -0.729
1410480302_01   16.949427   81.920587   -44.188       1.155     1.775     0.893     1.919
1410480303_01   17.955160   83.123708    14.977       0.243     0.733     0.138     0.760
1410480305_01   17.515140   82.624719    48.695       1.578    -3.650     2.074    -3.392
1410480306_01   17.562969   83.101565   -51.155       3.977     6.580     3.016     7.075
1410480308_01   17.860895   83.168715   -17.621       0.360     0.561     0.278     0.606
1410480309_01   17.889188   83.183210   -19.310       0.545     0.396     0.484     0.468
1410480311_01   16.922147   82.116790   -65.554       3.966     4.186     3.336     4.702
1410480314_01   16.956075   82.206016   -70.992      -3.741    -2.725    -3.320    -3.224
1410480315_01   16.727758   81.888280   -61.181       1.010    -5.932     1.836    -5.729
1410480316_01   18.214199   82.229423   384.000       4.706    -4.129     5.232    -3.430
1410480317_01   16.963131   82.058148   -62.251       2.123    -2.008     2.384    -1.690
1410480320_01   17.968139   82.684892   369.773       0.663    -2.097     0.949    -1.983
1410480321_01   17.955692   83.173549    16.126       2.709     3.668     2.170     4.011
1410480323_01   17.975627   82.140506   739.393      -2.629    -0.216    -2.569    -0.580
1410480324_01   18.029102   83.102781     1.431      -1.109     3.646    -1.608     3.456
1410480325_01   17.935102   83.197079    12.974      -3.174     0.069    -3.153    -0.375
1410480328_01   18.070629   82.373258   686.340      -3.829     0.384    -3.840    -0.154
1410480330_01   17.931869   82.513786  1058.985      -1.141     1.640    -1.357     1.461
1410480331_01   18.025631   83.219444   -19.748       2.434    -1.401     2.607    -1.047
1410480334_01   17.749320   82.692733    18.661      -5.328    -4.224    -4.683    -4.928
1410480337_01   18.030894   83.369633   -19.844       6.846    -1.509     6.992    -0.537
1410480338_01   18.063192   82.566770   856.484       2.708     0.171     2.653     0.546
1410480339_01   17.910300   82.498595   834.224      -3.404    -2.554    -3.009    -3.000
1410480343_01   17.642787   82.628687    53.600       0.341     4.046    -0.229     4.054
1410480344_01   17.490594   82.738343   -47.081       4.261     1.722     3.978     2.303
1410480346_01   17.105097   82.223042   -55.735      -3.619    -2.066    -3.292    -2.554
1410480347_01   17.297292   82.470687   -46.824      -0.972    -2.065    -0.672    -2.180
1410480348_01   17.924821   83.487951   -70.000       5.211    -1.636     5.391    -0.891
1410480350_01   18.084894   83.385373    -8.175      -0.097     3.617    -0.602     3.569
1410480351_01   17.811223   83.175752   -34.265       2.442    -0.109     2.434     0.234
